Gene_name	HI_score
UBE2Q1	0.407
RNF14	0.148
RNF17	0.2
RNF10	0.251
RNF11	0.163
RNF12	0.688
RNF13	0.337
REM1	0.197
REM2	0.34
SYNGR2	0.087
C16orf13	0.07
DUOXA2	0.033
PMM2	0.276
PMM1	0.118
ASS1	0.409
NCBP1	0.073
KRTAP10-12	0.205
ZNF708	0.163
LRRTM4	0.206
CAMK1	0.197
STYXL1	0.042
SPR	0.133
ZNF700	0.094
ZNF707	0.144
CAMK4	0.153
ZNF704	0.19
ZC3H10	0.406
ZC3H13	0.38
ZC3H15	0.749
ZC3H14	0.339
SPN	0.274
HMGCLL1	0.1
ZC3H18	0.353
GRIN1	0.266
C16orf14	0.103
FOXQ1	0.07
DHX9	0.892
TCOF1	0.104
CEACAM7	0.139
NUP98	0.932
XPC	0.27
SP1	1.0
GRINA	0.164
SP3	0.948
SP4	0.839
SP5	0.504
KLRA1	0.059
CAMKV	0.864
OR5B3	0.064
GOLIM4	0.085
OPA3	0.115
OPA1	0.32
RAB40C	0.114
RAB40B	0.082
RAB40A	0.085
KRTAP21-2	0.027
CBX1	0.156
COL7A1	0.122
GTSE1	0.105
OVCH2	0.043
OVCH1	0.052
KIAA0831	0.245
NSL1	0.118
ITGA9	0.132
UGCG	0.149
MYO3B	0.155
ATP2A1	0.698
ATP2A2	0.255
ATP2A3	0.111
PHF21B	0.096
ITGA1	0.414
ITGA2	0.251
ITGA3	0.155
ITGA4	0.304
ITGA5	0.349
RIT1	0.103
RARRES3	0.001
TRHR	0.177
DENND4A	0.613
DENND4B	0.341
DENND4C	0.318
RARRES1	0.084
UFSP1	0.113
HSCB	0.086
PHLDA3	0.08
UFSP2	0.184
GAP43	0.462
CSNK2A1	0.999
C22orf26	0.068
FBXL11	0.35
FBXL10	0.302
FBXL13	0.093
FBXL12	0.145
TIPRL	0.143
FBXL14	0.101
FBXL17	0.531
HRH1	0.108
FBXL19	0.322
FBXL18	0.178
FAM116A	0.215
GHDC	0.051
SDK1	0.208
SDK2	0.364
GRP	0.124
THSD4	0.192
THSD1	0.101
ZFP161	0.238
CHST8	0.828
COL4A5	0.88
COL4A4	0.084
COL4A3	0.294
COL4A2	0.239
COL4A1	0.828
OR8J3	0.063
CHST1	0.216
CHST3	0.193
CHST2	0.129
CHST5	0.066
CHST4	0.251
CHST7	0.421
CHRM5	0.237
ITGAX	0.087
MLNR	0.173
ACO2	0.39
HLX	0.2
HLCS	0.061
NOG	0.699
LIPG	0.147
ITGAV	0.633
COX7C	0.001
ZNF703	0.54
ITGAL	0.126
ITGAM	0.089
HLF	0.4
NOV	0.841
ITGAD	0.056
FAM134B	0.571
FAM134A	0.339
SMAD9	0.984
TRERF1	0.76
LRPAP1	0.108
SMAD5	0.906
SMAD6	0.95
SMAD7	0.604
GOLPH3L	0.175
SMAD1	0.962
AFTPH	0.456
ZNF706	0.625
RFK	0.058
AMMECR1L	0.384
TMPRSS11A	0.105
TMPRSS11B	0.075
IGF2R	0.12
TMPRSS11D	0.111
TMPRSS11E	0.166
TMPRSS11F	0.047
HS3ST2	0.327
PLRG1	0.504
SLC36A3	0.106
CKS1B	0.912
SLC36A1	0.126
C14orf115	0.577
C16orf63	0.175
NSBP1	0.378
ERICH1	0.062
ARTN	0.032
ART1	0.062
HRH3	0.107
ART3	0.215
ART5	0.166
ART4	0.059
DRAP1	0.229
TCEA2	0.451
TCEA3	0.489
COX4I2	0.077
C16orf62	0.158
OR4B1	0.074
CRTAM	0.168
EDA	0.303
OR6P1	0.064
CCDC116	0.073
CADPS2	0.365
CCDC114	0.089
RLF	0.476
CCDC112	0.227
MCF2L	0.094
CCDC110	0.078
CCDC111	0.138
LEO1	0.139
ATP1A4	0.098
ATP1A3	0.918
ATP1A2	0.425
ATP1A1	0.65
MGRN1	0.387
CRTAP	0.128
SP8	0.895
SPHK1	0.11
DPT	0.12
IPO11	0.661
CUEDC2	0.228
IPO13	0.648
AIM1	0.325
CPEB4	0.596
GNA15	0.06
CPEB1	0.355
CPEB3	0.712
CPEB2	0.12
RBMXL1	0.167
SRBD1	0.153
ABAT	0.369
CDH20	0.371
ZNF780A	0.107
ZNF780B	0.111
