Chrom	Start	End	Strand	Func_num	Threep_usage	Fivep_usage
chr7	130668812	130668868	-	0	1.0	1.0
chr20	31979948	31980048	-	0	0.958333333333	0.944444444444
chr3	183884665	183884763	+	0	0.00498753117207	1.0
chr12	56527894	56527965	+	0	0.877906976744	1.0
chr3	167742314	167742382	-	0	1.0	1.0
chr11	117073718	117073909	+	0	1.0	1.0
chr14	50671002	50671127	-	0	1.0	1.0
chr11	86802404	86802437	+	0	0.94	0.954887218045
chr16	8735260	8735302	+	0	0.0159489633174	0.0032310177706
chr19	34890624	34890690	+	0	1.0	1.0
chr9	134021516	134021691	+	0	0.84375	1.0
chr10	121338238	121338346	-	0	1.0	1.0
chr4	40115052	40115128	+	0	1.0	1.0
chr16	70530169	70530334	-	0	0.954436450839	1.0
chr3	197541779	197541923	+	0	0.96	0.980582524272
chrX	117895101	117895252	+	0	1.0	1.0
chr1	26784282	26784396	+	0	0.989898989899	0.989247311828
chr12	53691829	53691934	+	0	0.995052566481	1.0
chr1	155315754	155315998	-	0	0.00934579439252	0.0185185185185
chr1	94649707	94649844	-	0	1.0	1.0
chr12	19473496	19473558	+	0	1.0	1.0
chr2	220080719	220080902	-	2	0.947565543071	0.971830985915
chr19	50185453	50185516	+	0	0.999392466586	0.999535962877
chr17	56809845	56809905	+	0	0.870967741935	0.967391304348
chrX	48325186	48325259	-	0	1.0	1.0
chr11	18105082	18105278	-	0	0.6	0.782608695652
chr19	11258494	11258570	-	0	1.0	1.0
chr4	25836819	25836945	-	0	1.0	1.0
chr7	99272156	99272208	-	0	1.0	1.0
chrX	50131525	50131616	-	0	0.957446808511	0.9375
chr1	156517865	156518035	-	0	1.0	1.0
chr16	67866131	67866448	-	0	1.0	0.995327102804
chr3	129291685	129291784	-	0	0.976744186047	0.981818181818
chr1	28861770	28861892	+	0	1.0	1.0
chr2	61721029	61721226	-	0	1.0	1.0
chr14	70809375	70809446	-	1	0.942148760331	0.914110429448
chr14	89307769	89307858	+	0	0.804347826087	0.82
chr5	96237210	96237385	+	0	1.0	1.0
chr14	20857769	20857899	-	0	1.0	1.0
chr14	24029147	24029245	-	0	1.0	1.0
chr1	183083666	183083854	+	0	1.0	1.0
chr8	131070200	131070322	-	0	1.0	1.0
chr19	43016502	43016631	-	0	1.0	1.0
chr1	3396081	3396154	+	0	0.995305164319	0.994285714286
chr19	10505697	10505819	-	0	1.0	1.0
chr18	12680661	12680827	-	0	1.0	1.0
chr1	150129105	150129209	+	0	1.0	1.0
chr12	72026666	72026797	-	0	1.0	1.0
chrX	128718321	128718344	+	0	0.0320512820513	0.0621118012422
chr20	18724744	18724915	+	0	1.0	1.0
chr2	241536098	241536359	+	0	0.779411764706	0.909523809524
chr1	11313896	11314030	-	0	1.0	1.0
chr11	111229513	111229643	-	0	1.0	1.0
chr15	44921431	44921586	-	0	1.0	1.0
chr1	173775577	173775714	-	0	0.125	0.363636363636
chr21	38512861	38512973	+	0	1.0	1.0
chr2	179300872	179301046	-	0	0.990825688073	0.996753246753
chr11	205952	206043	-	0	1.0	1.0
chr19	5274210	5274355	-	0	1.0	1.0
chr1	11896024	11896210	+	0	1.0	1.0
chr15	43712816	43712933	-	0	1.0	1.0
chr3	183518254	183518356	+	0	1.0	1.0
chr2	204231600	204231767	+	0	0.992	1.0
chr14	103806764	103806898	+	0	1.0	1.0
chr1	23779190	23779264	-	0	1.0	1.0
chr20	409135	409738	+	0	1.0	1.0
chr7	66236870	66237065	+	0	0.985074626866	0.98275862069
chr16	14540745	14540938	-	0	1.0	1.0
chr10	46343308	46343402	-	0	1.0	1.0
chr11	10518359	10518485	+	0	1.0	1.0
chrX	107935978	107936155	+	0	0.989795918367	0.992682926829
chr1	156264156	156264356	-	0	1.0	1.0
chr10	13541778	13542080	-	0	0.9	0.244680851064
chr1	154561845	154561938	-	0	0.991769547325	0.991525423729
chr7	2262210	2262389	-	0	1.0	1.0
chr19	50902108	50902310	+	0	0.897959183673	1.0
chr10	75523614	75523741	+	0	0.994106090373	0.99481865285
chr11	18547208	18547249	-	0	0.00917431192661	0.0121951219512
chr11	82624325	82624428	+	0	0.0833333333333	1.0
chr3	49753008	49753147	+	0	0.973782771536	1.0
chr12	49048724	49048843	-	0	1.0	1.0
chr8	67479111	67479227	-	0	1.0	1.0
chr5	130778042	130778230	-	0	1.0	1.0
chr9	34017048	34017187	-	0	1.0	1.0
chr13	96274597	96274734	-	0	1.0	1.0
chr10	82273775	82273819	+	0	1.0	1.0
chr5	52361671	52361807	+	0	1.0	1.0
chr2	192225357	192225455	+	0	1.0	1.0
chr6	20739750	20739846	+	0	1.0	1.0
chr2	136409300	136409602	+	0	0.595541401274	0.993506493506
chr1	43777342	43777500	+	0	1.0	1.0
chr9	136333462	136333586	+	0	0.0826446280992	0.075
chr9	43822518	43822779	+	0	1.0	1.0
chr5	60186716	60186913	-	0	0.949152542373	0.967391304348
chr11	111739325	111739459	-	0	1.0	1.0
chr1	99167373	99167459	+	0	1.0	1.0
chr4	186066913	186067053	+	0	0.990267639903	0.9972899729
chr5	137780443	137780556	+	0	1.0	1.0
chr12	56648362	56648504	-	0	1.0	1.0
chr8	23148874	23149046	+	0	1.0	1.0
chr17	65116521	65116728	-	0	1.0	1.0
chr19	17386598	17386634	+	0	0.00597609561753	0.884146341463
chr1	100440527	100440625	+	0	0.19298245614	0.361111111111
chr15	81225586	81225801	+	0	1.0	1.0
chr12	57906086	57906136	+	1	0.055829228243	0.997229916898
chr18	43514775	43514932	-	0	1.0	1.0
chr17	79682723	79682771	+	0	1.0	1.0
chr21	45217512	45217576	+	0	1.0	1.0
chr18	10697746	10697878	-	0	0.980769230769	0.981132075472
chr20	16506737	16506850	-	0	1.0	1.0
chr22	22316801	22317265	-	0	0.968152866242	0.837837837838
chr9	80919651	80919856	+	0	0.997412677878	0.998542274052
chr6	30618771	30618859	+	0	0.9875	0.878612716763
chr3	52237879	52238028	+	0	1.0	1.0
chr2	232655632	232655883	+	0	0.00425531914894	0.0168067226891
chr16	70578341	70578436	+	1	0.993788819876	0.992647058824
chr19	2343209	2343290	+	0	1.0	1.0
chr9	86293356	86293514	-	0	0.990740740741	0.994604316547
chr3	8932073	8932135	-	0	1.0	1.0
chr8	382886	382935	+	0	0.7	0.752577319588
chr12	9251203	9251352	-	0	0.9931169896	0.986287826685
chr3	196664381	196664502	-	0	0.0297723292469	0.9975399754
chr14	72204961	72205042	+	0	0.431818181818	1.0
chr16	28604573	28604667	-	0	0.442231075697	0.479553903346
chr9	37500837	37500918	+	0	1.0	1.0
chr2	26415179	26415293	-	0	0.994579945799	0.99649122807
chr17	34147336	34147441	+	0	1.0	1.0
chr1	193029004	193029352	+	0	0.210526315789	0.117647058824
chr4	83825889	83826084	+	0	1.0	0.875
chr16	22336526	22336587	+	0	1.0	1.0
chr10	105073943	105074029	-	0	1.0	1.0
chr3	113146034	113146186	-	0	0.833333333333	0.9
chr13	50057600	50057699	+	0	0.9	0.914285714286
chr11	125888225	125888368	-	0	1.0	1.0
chr21	40636386	40636611	-	0	1.0	1.0
chr6	31919332	31919381	+	0	1.0	1.0
chr13	75911057	75911176	-	0	1.0	1.0
chr2	172647961	172648099	-	0	1.0	1.0
chr22	30695433	30695540	-	0	1.0	1.0
chr5	148885046	148885158	-	0	1.0	0.645161290323
chr8	146016063	146016148	-	0	0.000563507269244	0.000563507269244
chr19	55748281	55748338	-	0	1.0	1.0
chr16	5108494	5108611	-	0	1.0	1.0
chr1	2518530	2518734	+	0	1.0	1.0
chr18	21532954	21533073	+	0	1.0	1.0
chr12	100562230	100562411	-	0	0.944444444444	0.818181818182
chr8	28866589	28866699	+	1	1.0	1.0
chr1	167921038	167921099	+	1	1.0	1.0
chr9	74586421	74586534	+	0	0.935483870968	0.945945945946
chr2	9525374	9525487	+	0	1.0	1.0
chr6	17539500	17539689	+	1	0.939726027397	0.902654867257
chr1	8616534	8616630	-	0	1.0	1.0
chr2	47559412	47559547	-	0	1.0	1.0
chr17	46127969	46128990	+	0	0.991452991453	1.0
chr2	135099161	135099330	+	0	0.925925925926	0.977272727273
chr14	58681923	58682002	+	0	1.0	1.0
chr2	180014024	180014121	-	0	1.0	1.0
chr4	2661539	2661781	+	0	1.0	1.0
chr12	111070277	111070364	+	0	1.0	1.0
chr5	98195676	98195772	-	0	1.0	1.0
chr11	9457818	9457913	+	0	1.0	1.0
chr17	74484056	74484214	-	0	0.233333333333	0.356164383562
chr5	37331787	37331897	-	0	1.0	1.0
chr6	3123891	3123994	+	0	1.0	1.0
chr4	123094191	123094307	+	0	1.0	1.0
chr12	88500452	88500682	-	0	1.0	1.0
chr12	49719284	49719343	+	0	1.0	0.0153846153846
chr1	94933475	94933563	+	0	1.0	1.0
chr16	10849578	10849610	+	0	0.937743190661	0.953352769679
chr19	4950623	4950785	+	0	1.0	1.0
chr17	79872170	79872578	-	0	1.0	1.0
chr1	25570945	25570989	-	2	0.865384615385	0.3
chr14	24706248	24706358	+	0	0.00429799426934	1.0
chr20	18286325	18286451	+	0	0.422222222222	0.965517241379
chr9	33468506	33468564	-	0	1.0	1.0
chr4	37850143	37850272	+	0	1.0	1.0
chr1	204083449	204083560	+	0	1.0	1.0
chr11	70348311	70348391	-	0	1.0	1.0
chr17	57663514	57663594	+	0	0.727272727273	0.871428571429
chr9	35397164	35397307	+	0	1.0	1.0
chr19	18322569	18322751	-	0	1.0	1.0
chr22	31850130	31850362	-	0	1.0	1.0
chr5	37060946	37061120	+	0	1.0	1.0
chr11	6625410	6625590	+	0	0.567741935484	1.0
chr15	42701501	42701578	+	0	1.0	1.0
chr18	21649121	21649235	+	0	1.0	1.0
chr7	99950996	99951635	+	1	0.708542713568	0.616279069767
chr10	121431767	121432168	+	0	1.0	1.0
chr22	36715585	36715680	-	0	1.0	1.0
chr10	99190712	99190892	+	0	0.999614940316	0.997995991984
chr1	20304508	20304614	-	0	1.0	1.0
chr5	149931315	149931417	+	0	0.990654205607	0.993421052632
chr7	139305147	139305309	-	0	1.0	1.0
chr16	4909026	4909160	+	0	1.0	1.0
chr3	197340096	197340189	-	0	1.0	1.0
chr6	158480289	158480569	+	0	1.0	0.0778443113772
chr6	43168174	43168264	+	0	1.0	1.0
chr14	74345799	74346008	+	0	0.954545454545	0.95
chr21	45547813	45548031	+	0	1.0	1.0
chr13	99091361	99091450	+	0	1.0	1.0
chr6	31750062	31750220	-	0	1.0	1.0
chr2	54093884	54094017	-	0	1.0	1.0
chr1	204499812	204499945	+	0	1.0	1.0
chr15	41554954	41555081	+	0	0.994791666667	0.996296296296
chr2	55544700	55544977	-	0	1.0	1.0
chr12	56552468	56552495	+	1	0.998783454988	0.999854035907
chr16	70542309	70542367	-	0	1.0	1.0
chr1	225576081	225576193	+	0	1.0	1.0
chr10	101604079	101604222	+	0	1.0	1.0
chr22	32188019	32188088	+	0	1.0	1.0
chrX	16638400	16638455	-	0	1.0	1.0
chr6	32123648	32123755	+	0	1.0	1.0
chr12	104335610	104335675	+	0	1.0	1.0
chr3	120469370	120469847	+	0	1.0	1.0
chr1	160318789	160318912	+	0	1.0	1.0
chr5	54581524	54581689	-	0	1.0	1.0
chr17	73827324	73827429	-	0	1.0	1.0
chr7	94229958	94230169	-	0	1.0	1.0
chr12	110385061	110386651	-	0	0.102564102564	0.981481481481
chr9	131247644	131247753	+	0	1.0	1.0
chr19	33493719	33493906	-	0	1.0	1.0
chr18	14183651	14183765	+	0	0.0769230769231	0.25
